customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnFlag,TenureGroup,MonthlyRevenue,AnnualizedMonthlyRevenue,ChurnProbability,RiskSegment,ChurnProbabilityPct,RevenueAtRisk,AnnualRevenueAtRisk,CustomerValueTier
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0,0-6,29.85,358.20000000000005,0.8021375859868237,High Risk,80.21,23.94380694170669,287.32568330048025,Low Value
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,0,25-48,56.95,683.4000000000001,0.1189520008867788,Low Risk,11.9,6.774316450502053,81.29179740602464,Medium Value
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,1,0-6,53.85,646.2,0.531901188819726,Medium Risk,53.19,28.64287901794225,343.714548215307,Medium Value
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,0,25-48,42.3,507.6,0.0816510201193415,Low Risk,8.17,3.4538381510481453,41.44605781257774,Low Value
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,1,0-6,70.7,848.4000000000001,0.8540338288748341,High Risk,85.4,60.38019170145078,724.5623004174093,Medium Value
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,1,7-12,99.65,1195.8000000000002,0.9092094666059274,High Risk,90.92,90.60272334728067,1087.232680167368,High Value
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,0,13-24,89.1,1069.1999999999998,0.7202637090546943,High Risk,72.03,64.17549647677326,770.1059577212791,High Value
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0,7-12,29.75,357.0,0.5226541789591389,Medium Risk,52.27,15.548961824034382,186.5875418884126,Low Value
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,1,25-48,104.8,1257.6,0.8168551986083936,High Risk,81.69,85.60642481415965,1027.2770977699158,High Value
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,0,49-72,56.15,673.8,0.0339433941108805,Low Risk,3.39,1.90592157932594,22.87105895191128,Medium Value
9763-GRSKD,Male,0,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,13-24,49.95,599.4000000000001,0.4127079621263453,Medium Risk,41.27,20.61476270821095,247.37715249853142,Low Value
7469-LKBCI,Male,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,13-24,18.95,227.4,0.0726630101976718,Low Risk,7.27,1.3769640432458805,16.523568518950565,Low Value
